2025/08/06 08:02:04 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/06 08:02:05 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/06 08:02:09 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/06 08:02:09 JST,DC Report,QZSS-2,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:02:15 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:02:19 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:02:26 JST,DC Report,QZSS-2,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/21 08:02:27 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/21 08:02:35 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:02:36 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
